client_name,client_id,account_type,address,phone_number,email,branch_id,servicing_broker_id,status,issued_on,updated_on,avg_days_between_logins,avg_user_sentiment_score
Nicole Cooper,C001548,Commercial,"17998 Nelson Parks, Lake Crystalbury, HI 00581",865.380.4810x26204,nicole.cooper@bridges-allison.net,B_US00225,S007124,Prospect,2005-05-02,2025-11-28,16.40481884680418,5.87654388804186
Robert Wilkinson,C005179,Commercial,"975 Anita Walks Apt. 087, Port Cody, VI 26010",001-362-793-7213x26987,robert.wilkinson@montoya-soto.com,B_US00966,S006025,Inactive,2004-12-23,2025-11-28,15.585227611466248,6.411985211344904
Dr. Mark Beard,C002396,Commercial,"63780 Jones Drives Suite 644, East Charlesbury, VA 11098",341.782.6026x246,dr..mark.beard@weaver.com,B_US00225,S005735,Inactive,2005-07-03,2025-11-28,15.554275203072676,6.527796427527482
Stacie Ramsey,C003018,Personal,"987 Martinez Lock Apt. 170, Jenkinsborough, KY 05891",001-829-218-6434x10603,stacie.ramsey@henry.org,B_US00730,S007335,Active,2005-08-04,2025-11-28,12.36597245848958,7.316116512483528
Rebecca Smith,C006026,Commercial,"187 Moon Mission, Rioschester, IN 90153",001-690-498-9624x59746,rebecca.smith@patton.net,B_US00966,S002832,Inactive,2005-04-07,2025-11-28,14.638740529198216,5.8564319730721035
Alyssa Diaz,C007495,Personal,"826 Zoe Trace Apt. 905, West Paul, KS 88275",891.718.7117,alyssa.diaz@aguirre.com,B_US00966,S005879,Inactive,2005-10-18,2025-11-28,14.131908402153904,6.910603341367842
Barry Robinson,C005463,Personal,"7023 Boyer Via, New Phillipton, PA 56372",+1-713-228-6565x7896,barry.robinson@coleman.biz,B_US00749,S008623,Prospect,2005-07-23,2025-11-28,8.481461446625726,4.79485980627609
Joshua Wise,C003525,Commercial,"84182 Singh Avenue Apt. 517, Paulview, CT 55517",+1-820-473-1806x6147,joshua.wise@brewer.net,B_US00831,S002804,Inactive,2005-11-09,2025-11-28,8.07958358071562,6.777176006908552
Jacob Smith,C009003,Personal,"368 Calderon Estates, East Audrey, GA 06641",(341)900-0855,jacob.smith@aguirre.info,B_US00749,S005759,Prospect,2005-01-02,2025-11-28,0.9877864407649053,4.44143222893028
David Maxwell,C008699,Personal,"293 Anna Square Apt. 379, Port Teresa, NY 25976",+1-969-855-2296x796,david.maxwell@yu.com,B_US00105,S001439,Inactive,2005-05-05,2025-11-28,13.767606121698922,5.66417336400251
Amanda Allen,C004139,Personal,"82237 Gibbs Prairie Apt. 279, North Bobbystad, WA 35106",(886)581-9922,amanda.allen@miller-hansen.com,B_US00225,S005199,Inactive,2005-04-26,2025-11-28,19.240655402452063,3.0530751253139576
Timothy Maldonado,C005546,Personal,"7497 Joseph Mall, Lake Karenshire, PW 80934",(798)769-4675x53286,timothy.maldonado@singh.com,B_US00730,S001702,Prospect,2005-01-19,2025-11-28,23.301725187129335,9.098147046987355
Melinda Brown,C009734,Personal,"75094 Payne Forest, New Lindsayton, LA 15099",932.645.1996,melinda.brown@wilson.com,B_US00198,S001471,Prospect,2004-12-16,2025-11-28,24.52725208613033,6.833896425223562
Katie Cruz,C004043,Personal,"26639 Anderson Forge, Jonathanview, PW 36084",668-205-0291x4043,katie.cruz@turner.info,B_US00223,S004280,Prospect,2005-07-08,2025-11-28,23.852867912107605,5.111770778344159
Donna Hudson,C007582,Personal,"14793 Christopher Views, Lake Samanthabury, NH 84708",001-326-361-8880x490,donna.hudson@williams.net,B_US00695,S003284,Prospect,2005-11-05,2025-11-28,18.43223604350783,6.282053075527342
Brittany Russell,C004547,Commercial,"58964 John Ferry, East Diane, NM 21396",650-240-1500x0451,brittany.russell@reed-mueller.com,B_US00223,S005377,Prospect,2005-07-23,2025-11-28,18.604137947978824,5.889612905097502
Michelle Garza,C005478,Commercial,"7896 Shawn Fields, Port Jonathan, PR 66602",001-425-306-1089x2887,michelle.garza@kaufman-gomez.net,B_US00749,S006134,Active,2005-01-03,2025-11-28,15.643970370332042,7.001489513800658
Jamie Robertson,C007776,Commercial,"72291 Chelsea Plain Apt. 443, Devonton, MA 64166",685-512-3444x172,jamie.robertson@calderon-nelson.com,B_US00966,S008378,Inactive,2005-02-25,2025-11-28,15.274307761353155,6.323284299172979
Hannah Gilmore,C008944,Commercial,"105 Elizabeth Isle Suite 773, New Michelle, NM 20423",001-459-418-4259,hannah.gilmore@peters-kelly.biz,B_US00966,S002100,Active,2005-01-12,2025-11-28,18.760501967027515,6.421148731364067
Austin Sosa,C007900,Commercial,"9434 Johns Wells Suite 699, Patriciamouth, WV 18112",730.466.7828x2483,austin.sosa@forbes.com,B_US00225,S007611,Prospect,2005-02-24,2025-11-28,14.355532658575125,4.747409612135852
Austin Houston,C005236,Personal,"3287 Katelyn Crossing, Donside, DC 28081",373.442.7764x584,austin.houston@richmond-arnold.com,B_US00105,S007737,Active,2005-07-19,2025-11-28,10.83448166884796,8.078148279048321
Brenda Horn DVM,C002059,Personal,"873 Christian Spring, Gonzalezborough, IL 08480",+1-705-827-4751x5488,brenda.horn.dvm@myers.org,B_US00223,S003395,Prospect,2005-03-18,2025-11-28,16.26802410974318,5.594409985162135
Jeremy Alexander,C009725,Personal,"15192 Maria Isle, East Monique, NC 68638",+1-304-299-2420x044,jeremy.alexander@lowery.com,B_US00966,S001439,Prospect,2004-12-17,2025-11-28,19.468043507276658,9.186299203753057
Dana Daniels,C006788,Commercial,"83726 Sheppard Islands, Davidfort, WV 31717",+1-956-376-2683,dana.daniels@barron-weaver.com,B_US00749,S008533,Inactive,2005-05-31,2025-11-28,6.7653195511815305,4.484028858643507
Christopher Howard,C009309,Personal,"6771 Amber Point Apt. 463, West Patricia, WI 55361",001-631-235-3335,christopher.howard@ward.com,B_US00198,S004479,Prospect,2005-05-24,2025-11-28,16.17956383071921,5.926924831480553
Christopher Frazier,C007239,Commercial,"8570 Michelle Walk, Beardmouth, NJ 17932",703.672.5782x6686,christopher.frazier@peters.info,B_US00831,S001574,Active,2005-11-01,2025-11-28,16.793589793843402,10.0
Brandon Smith,C001916,Commercial,"41541 Rachel Union Suite 627, Lake Raymond, SD 41331",9674050493,brandon.smith@jordan.org,B_US00749,S003188,Inactive,2005-08-02,2025-11-28,13.170424208832207,9.921271400918569
Maria Adams,C002304,Commercial,"358 Michael Camp Apt. 491, New Stephanie, AZ 54172",8177903859,maria.adams@carpenter.com,B_US00831,S008787,Prospect,2005-07-24,2025-11-28,18.88727325745068,7.203357072145938
Kathryn Sanders,C008232,Commercial,"9801 Kyle Hill, Roseview, GA 40546",559-717-8149,kathryn.sanders@morrison.com,B_US00105,S003515,Active,2005-04-08,2025-11-28,14.003189276829106,8.799362451683063
Lindsay Nguyen,C008123,Commercial,"Unit 2205 Box 8365, DPO AA 48947",+1-451-591-1609x803,lindsay.nguyen@bailey.com,B_US00223,S007242,Inactive,2005-05-13,2025-11-28,8.84050334047942,6.027542706989935
Daniel Hardin,C003077,Personal,"14613 Teresa Crest Apt. 333, Leeview, WA 37485",001-648-855-8834x3729,daniel.hardin@nguyen-williams.com,B_US00749,S002939,Active,2004-12-01,2025-11-28,16.212266098114572,5.964628974097719
Alexander Miller,C003009,Commercial,"0104 Thornton Flat Apt. 850, Kevinhaven, IL 62740",001-921-256-5493x043,alexander.miller@patterson.net,B_US00105,S003660,Active,2005-01-17,2025-11-28,19.779444319202998,5.68502555266371
Tamara Bailey,C006963,Personal,"9619 Christopher Streets, South Nicole, WV 24116",001-631-274-6190x52150,tamara.bailey@nguyen.com,B_US00105,S004307,Prospect,2005-11-26,2025-11-28,18.60075999605083,5.983574495106308
Robert Acosta,C009085,Personal,"96420 Wesley Vista Apt. 521, Port Jonathan, GA 11788",714.453.3476,robert.acosta@tucker.com,B_US00831,S004791,Prospect,2005-02-12,2025-11-28,17.483471760040352,6.349890042683073
Christie Mclean,C004409,Commercial,"855 Jeffrey Lodge Suite 891, New Williamstad, NJ 72828",237.248.6846x302,christie.mclean@scott.com,B_US00225,S003111,Active,2005-10-12,2025-11-28,22.98080774148565,6.099291636450063
Jessica Jackson,C001444,Commercial,"217 Jennifer Crest Suite 778, Romeroburgh, NY 72303",+1-326-816-6245x2460,jessica.jackson@pennington-smith.biz,B_US00966,S004048,Prospect,2005-06-16,2025-11-28,12.071660046088699,6.127724565662126
Julia Acosta,C007406,Commercial,"6765 Barnett Extensions, West Annburgh, NE 16418",206.869.7230x4361,julia.acosta@reed-moore.com,B_US00966,S006807,Prospect,2005-04-03,2025-11-28,15.321131486291836,6.117517564981484
Ralph Cain,C007234,Commercial,"47794 Vincent Green, Port Christopher, MO 19452",450-654-9802,ralph.cain@harrison.com,B_US00966,S001137,Active,2005-04-21,2025-11-28,16.329301689937388,8.541462566217511
John Bryan,C005023,Commercial,"360 Brittany Radial, West Eddie, DE 54972",(529)275-4380x04509,john.bryan@gardner.com,B_US00223,S004446,Active,2005-01-04,2025-11-28,14.462529171833527,2.842223949332876
Shane Warren,C005237,Commercial,"88629 Spence Crest Apt. 188, New Charles, VT 26666",733.758.4998,shane.warren@fleming.biz,B_US00749,S004220,Active,2005-04-29,2025-11-28,16.28959247945142,7.832208438547051
Lisa Weber,C008294,Commercial,"279 Callahan Extension Suite 976, North Andrew, OR 90107",546-690-9323,lisa.weber@graham-jones.com,B_US00730,S005609,Prospect,2005-04-23,2025-11-28,11.990533120804482,6.105039554998453
Christopher Rivera,C003486,Commercial,"461 Heather Crest, Vasqueztown, PA 67048",+1-542-942-7997x7914,christopher.rivera@jones.com,B_US00105,S004350,Active,2005-10-20,2025-11-28,9.05627971876896,10.0
Shaun Bush,C001962,Commercial,"95210 Mary Orchard Apt. 118, Port Seanfort, SC 15914",001-665-245-9455,shaun.bush@barry.com,B_US00966,S009747,Prospect,2005-01-21,2025-11-28,19.089842217455832,6.3211762887860425
Michelle Smith,C005664,Commercial,"414 Bennett Streets Suite 806, Kevinhaven, IA 38126",532-664-4965x094,michelle.smith@white.biz,B_US00223,S006339,Prospect,2005-02-01,2025-11-28,3.4472847260934163,5.5587705753994765
Larry Gibson,C002885,Commercial,"332 Johnson Grove Suite 657, South Gloria, MS 80309",841.564.9078,larry.gibson@jordan.com,B_US00105,S008151,Prospect,2005-06-17,2025-11-28,6.344524335059004,5.484504136467852
Whitney Tucker,C009965,Commercial,"1625 Gerald Drives Apt. 951, Snyderburgh, CT 80215",+1-581-723-9470,whitney.tucker@stephens.com,B_US00198,S003807,Active,2005-03-16,2025-11-28,22.40684867346529,5.468700420888664
Lawrence Cross,C009235,Personal,"8688 Christopher Locks Apt. 787, North Christine, WY 95206",610.604.1757x87418,lawrence.cross@ibarra.com,B_US00749,S005256,Prospect,2005-07-19,2025-11-28,15.79080388393607,10.0
Adam Larson,C001947,Commercial,"16234 David Island, Jonathanchester, FM 03914",(442)625-6697x9692,adam.larson@crawford-wright.net,B_US00198,S004933,Active,2005-10-07,2025-11-28,8.832657143688273,10.0
Alison Lewis,C009179,Personal,"9681 Duncan Forges, Davidview, NE 50326",2982180686,alison.lewis@liu.com,B_US00105,S003775,Prospect,2005-06-04,2025-11-28,13.39524764323214,8.648208359925102
Jason Ho,C008356,Commercial,"70897 Davis Well Apt. 557, Sarafurt, KY 95619",001-554-914-5892x2660,jason.ho@newton-hernandez.com,B_US00256,S002413,Prospect,2005-08-23,2025-11-28,27.534387062465946,6.953351103597398
Anthony Hood Jr.,C004230,Commercial,"7906 Tim Route Suite 123, East Kathleen, IL 01079",+1-756-981-6032x831,anthony.hood.jr.@stone.net,B_US00198,S007640,Inactive,2005-06-16,2025-11-28,10.807086443270217,6.767799634097969
Brian Allen,C006629,Commercial,"92546 Coleman Inlet Suite 176, Lake Sarahport, ND 90182",+1-358-985-2576x863,brian.allen@peters.com,B_US00749,S001622,Inactive,2005-03-14,2025-11-28,12.527730971706081,6.61195329468428
Bethany Nguyen,C002356,Personal,"12077 Brown Bridge, Arnoldburgh, LA 17400",001-745-767-5745x801,bethany.nguyen@gonzalez.info,B_US00105,S002099,Prospect,2005-07-04,2025-11-28,21.806736193452195,5.345082655936799
Jennifer Howard,C003041,Commercial,"7539 Owens Vista, Dannyport, AK 84360",9338136904,jennifer.howard@adams-andrews.com,B_US00831,S009084,Prospect,2005-11-15,2025-11-28,9.656215834491872,10.0
Tiffany Martinez,C007429,Commercial,"6804 Thomas Bypass Apt. 951, Zacharyview, WA 22132",6665399198,tiffany.martinez@fisher.org,B_US00749,S009502,Prospect,2005-10-27,2025-11-28,21.543008405452422,5.773186890706552
Amy Harris,C003719,Commercial,"Unit 1949 Box 9557, DPO AA 52356",641-356-1108x1987,amy.harris@cisneros.org,B_US00730,S008090,Inactive,2005-04-05,2025-11-28,8.344168984350016,10.0
Troy Burnett,C002043,Personal,"6522 Tony Estates, Davidfort, SC 95767",803.735.3451,troy.burnett@villarreal.com,B_US00225,S002699,Inactive,2005-04-03,2025-11-28,0.8474664029028336,8.297757840912054
Diane Shepherd,C002199,Commercial,"180 Johnson Loop, Khanview, AS 76443",001-990-844-9527x826,diane.shepherd@myers.com,B_US00831,S008293,Inactive,2005-11-08,2025-11-28,22.524268701888243,2.7830499824515975
April Brown,C008646,Commercial,"564 Ricky Isle Suite 555, Lake Julie, DC 73368",466.882.0550x308,april.brown@haley-hayden.com,B_US00256,S008923,Prospect,2005-02-19,2025-11-28,12.488419397274697,8.755102269596474
Edward Vega,C003242,Personal,"4065 William Mission, Wellsside, SD 15422",+1-275-278-8489x528,edward.vega@neal-miller.org,B_US00749,S001429,Inactive,2005-06-09,2025-11-28,32.68924914745355,10.0
Sarah Hayes,C009830,Commercial,"03803 Sarah Terrace, North Christine, LA 92862",+1-278-916-2095,sarah.hayes@jennings-parker.biz,B_US00831,S009116,Active,2005-04-14,2025-11-28,0.27802968421768526,3.734998111840525
Ryan Delacruz,C008959,Personal,"41960 Harrison Meadows, Rickyburgh, MH 87249",256-479-7705,ryan.delacruz@miller.biz,B_US00831,S003167,Active,2004-12-31,2025-11-28,16.35474146042142,7.056675382774239
Michael Martinez PhD,C009767,Personal,"08783 Stephen Falls Apt. 860, Lake John, MO 98294",895-966-1346x36309,michael.martinez.phd@hicks.com,B_US00198,S006578,Prospect,2005-09-09,2025-11-28,16.75970215536951,9.242482721415442
Jacqueline Rogers,C006560,Commercial,"9240 Jessica Mountains Apt. 730, Lake Alexis, OK 16580",001-548-655-6576x153,jacqueline.rogers@williams.info,B_US00695,S002605,Inactive,2005-06-18,2025-11-28,13.699721534482302,6.493280874975988
Allison Collins,C002987,Commercial,"6884 David Pike, Jamesbury, WV 17332",437-877-6972,allison.collins@baker-cox.info,B_US00225,S004603,Active,2005-09-26,2025-11-28,4.393508909484083,6.026630066687443
Anthony Clark,C007322,Commercial,"8139 Michael Island Suite 142, Cannonside, FL 17664",544.616.4625x44053,anthony.clark@barron-wilson.com,B_US00730,S003440,Prospect,2005-03-28,2025-11-28,19.141352328777554,10.0
Charles Lin,C009202,Commercial,"Unit 0704 Box 4869, DPO AE 83118",001-742-502-1009x816,charles.lin@henderson-lara.biz,B_US00966,S003170,Active,2005-03-12,2025-11-28,0.18902323098613572,7.348693526258909
Jared Page,C005158,Commercial,"8816 Kyle Parkway Apt. 345, Port Steven, HI 13858",001-859-519-7565x10456,jared.page@rogers.com,B_US00198,S002135,Prospect,2005-11-25,2025-11-28,14.95955343603711,8.760206725829523
Lorraine Richardson MD,C008949,Commercial,"004 Deborah Lodge, Josephmouth, NH 59274",(337)470-9111,lorraine.richardson.md@webb.com,B_US00695,S008183,Prospect,2005-05-08,2025-11-28,17.948548106723887,7.479511452068934
Amber Walsh,C004927,Commercial,"181 Dawn Mount Apt. 164, West Nicolefurt, NJ 63639",+1-881-771-5458x94386,amber.walsh@shannon.info,B_US00105,S009432,Inactive,2005-07-14,2025-11-28,27.666206270212236,4.204693091384259
Mike Williams,C001838,Personal,"8717 Suzanne Center Suite 099, Lauraville, IA 79865",+1-530-639-0213,mike.williams@clark.biz,B_US00256,S005699,Active,2005-08-21,2025-11-28,12.705369893818839,4.927955223326528
Valerie Mckenzie,C003561,Personal,"402 Roberts Cove, Veronicabury, NC 03550",8998101552,valerie.mckenzie@johnson.biz,B_US00695,S008265,Active,2005-02-12,2025-11-28,15.12728807042376,7.773918149088219
