message_id,received_date,sent_date,subject,from_name,from_email,to_email,cc,read_status,hasAttachment
MESS2025-08-17001835,2025-08-18,2025-08-17,Meeting Agenda: New IRDAI Compliance Guidelines,Aaron Dawson,aaron.dawson@watts-hill.com,"ashley.lane@watts-hill.com,ashley.lane@watts-hill.com,kristopher.thomas@watts-hill.com","kelly.wilcox@watts-hill.com,daniel.mahoney@watts-hill.com,aaron.sanford@watts-hill.com",read,True
MESS2025-03-23005670,2025-03-24,2025-03-23,Internal Review: Claim Settlement Delay – Escalation Required,Micheal Wood,micheal.wood@watts-hill.com,"victoria.spencer@watts-hill.com,ashley.lane@watts-hill.com",ashley.lane@watts-hill.com,unread,True
MESS2025-02-28004927,2025-03-01,2025-02-28,Policy Renewal Reminders for This Week,Kelly Wilcox,kelly.wilcox@watts-hill.com,"aaron.sanford@watts-hill.com,micheal.wood@watts-hill.com,victoria.spencer@watts-hill.com,matthew.hicks@watts-hill.com","daniel.mahoney@watts-hill.com,daniel.mahoney@watts-hill.com",unread,True
MESS2025-03-18007735,2025-03-19,2025-03-18,Request for KYC/Business Proofs for New Corporate Client,Kristopher Thomas,kristopher.thomas@watts-hill.com,"ashley.lane@watts-hill.com,ashley.lane@watts-hill.com,matthew.hicks@watts-hill.com,matthew.hicks@watts-hill.com","daniel.mahoney@watts-hill.com,aaron.dawson@watts-hill.com",read,True
MESS2025-03-15002977,2025-03-16,2025-03-15,Urgent: Underwriter Feedback on Fire Insurance Application,Kristopher Thomas,kristopher.thomas@watts-hill.com,micheal.wood@watts-hill.com,"victoria.spencer@watts-hill.com,aaron.sanford@watts-hill.com,ashley.lane@watts-hill.com,ashley.lane@watts-hill.com,kelly.wilcox@watts-hill.com",unread,True
MESS2025-10-03004280,2025-10-04,2025-10-03,Urgent: Underwriter Feedback on Fire Insurance Application,Samantha Robbins,samantha.robbins@watts-hill.com,"aaron.sanford@watts-hill.com,kelly.wilcox@watts-hill.com,victoria.spencer@watts-hill.com","matthew.hicks@watts-hill.com,victoria.spencer@watts-hill.com,micheal.wood@watts-hill.com,kelly.wilcox@watts-hill.com",unread,True
MESS2025-04-16009753,2025-04-17,2025-04-16,Need Clarification on Endorsement Changes for Motor Fleet Policy,Victoria Spencer,victoria.spencer@watts-hill.com,"ashley.lane@watts-hill.com,kristopher.thomas@watts-hill.com","victoria.spencer@watts-hill.com,aaron.sanford@watts-hill.com,aaron.sanford@watts-hill.com",read,True
MESS2025-05-30007378,2025-05-31,2025-05-30,Need Clarification on Endorsement Changes for Motor Fleet Policy,Kelly Wilcox,kelly.wilcox@watts-hill.com,"kelly.wilcox@watts-hill.com,kelly.wilcox@watts-hill.com,kelly.wilcox@watts-hill.com","aaron.sanford@watts-hill.com,samantha.robbins@watts-hill.com",read,True
MESS2025-10-27005165,2025-10-28,2025-10-27,Internal Review: Claim Settlement Delay – Escalation Required,Ashley Lane,ashley.lane@watts-hill.com,"ashley.lane@watts-hill.com,kelly.wilcox@watts-hill.com,kristopher.thomas@watts-hill.com,daniel.mahoney@watts-hill.com,daniel.mahoney@watts-hill.com","kristopher.thomas@watts-hill.com,victoria.spencer@watts-hill.com",read,True
MESS2025-10-19001227,2025-10-20,2025-10-19,Internal Review: Claim Settlement Delay – Escalation Required,Samantha Robbins,samantha.robbins@watts-hill.com,"micheal.wood@watts-hill.com,aaron.sanford@watts-hill.com,samantha.robbins@watts-hill.com","kristopher.thomas@watts-hill.com,daniel.mahoney@watts-hill.com,daniel.mahoney@watts-hill.com,matthew.hicks@watts-hill.com,samantha.robbins@watts-hill.com",unread,True
MESS2025-05-09007048,2025-05-10,2025-05-09,Request for KYC/Business Proofs for New Corporate Client,Matthew Hicks,matthew.hicks@watts-hill.com,"kristopher.thomas@watts-hill.com,micheal.wood@watts-hill.com,kelly.wilcox@watts-hill.com","aaron.sanford@watts-hill.com,matthew.hicks@watts-hill.com,samantha.robbins@watts-hill.com,daniel.mahoney@watts-hill.com",read,True
MESS2025-03-07008085,2025-03-08,2025-03-07,Reconciliation of Commission Statements – 7,Ashley Lane,ashley.lane@watts-hill.com,aaron.sanford@watts-hill.com,aaron.sanford@watts-hill.com,read,True
MESS2025-01-07006211,2025-01-08,2025-01-07,Updated Premium Quotes for Butler PLC – Review Needed,Matthew Hicks,matthew.hicks@watts-hill.com,"micheal.wood@watts-hill.com,kelly.wilcox@watts-hill.com,kristopher.thomas@watts-hill.com,kristopher.thomas@watts-hill.com","aaron.dawson@watts-hill.com,daniel.mahoney@watts-hill.com",read,True
MESS2025-01-25007236,2025-01-26,2025-01-25,Urgent: Underwriter Feedback on Fire Insurance Application,Samantha Robbins,samantha.robbins@watts-hill.com,samantha.robbins@watts-hill.com,"victoria.spencer@watts-hill.com,kristopher.thomas@watts-hill.com,kristopher.thomas@watts-hill.com,kristopher.thomas@watts-hill.com",read,True
MESS2025-10-20006465,2025-10-21,2025-10-20,Request for KYC/Business Proofs for New Corporate Client,Samantha Robbins,samantha.robbins@watts-hill.com,aaron.dawson@watts-hill.com,"samantha.robbins@watts-hill.com,victoria.spencer@watts-hill.com,matthew.hicks@watts-hill.com",read,False
MESS2025-11-25004926,2025-11-26,2025-11-25,Follow-Up: Health Insurance Proposal Sent to Client,Matthew Hicks,matthew.hicks@watts-hill.com,kristopher.thomas@watts-hill.com,samantha.robbins@watts-hill.com,read,True
MESS2025-01-02001903,2025-01-03,2025-01-02,Policy Renewal Reminders for This Week,Micheal Wood,micheal.wood@watts-hill.com,"micheal.wood@watts-hill.com,matthew.hicks@watts-hill.com,ashley.lane@watts-hill.com,daniel.mahoney@watts-hill.com,victoria.spencer@watts-hill.com","kristopher.thomas@watts-hill.com,matthew.hicks@watts-hill.com,aaron.dawson@watts-hill.com,samantha.robbins@watts-hill.com,ashley.lane@watts-hill.com",read,False
MESS2025-08-02005614,2025-08-03,2025-08-02,Reconciliation of Commission Statements – 12,Micheal Wood,micheal.wood@watts-hill.com,daniel.mahoney@watts-hill.com,matthew.hicks@watts-hill.com,unread,True
MESS2025-01-01002217,2025-01-02,2025-01-01,Updated Premium Quotes for Harris-Smith – Review Needed,Aaron Dawson,aaron.dawson@watts-hill.com,"matthew.hicks@watts-hill.com,aaron.dawson@watts-hill.com","kelly.wilcox@watts-hill.com,matthew.hicks@watts-hill.com,aaron.dawson@watts-hill.com,ashley.lane@watts-hill.com,aaron.sanford@watts-hill.com",read,True
MESS2025-10-25002270,2025-10-26,2025-10-25,Policy Renewal Reminders for This Week,Matthew Hicks,matthew.hicks@watts-hill.com,matthew.hicks@watts-hill.com,"kristopher.thomas@watts-hill.com,ashley.lane@watts-hill.com,victoria.spencer@watts-hill.com,ashley.lane@watts-hill.com,samantha.robbins@watts-hill.com",read,True
MESS2025-09-08009490,2025-09-09,2025-09-08,Meeting Agenda: New IRDAI Compliance Guidelines,Aaron Dawson,aaron.dawson@watts-hill.com,"aaron.dawson@watts-hill.com,samantha.robbins@watts-hill.com,kelly.wilcox@watts-hill.com",samantha.robbins@watts-hill.com,read,True
MESS2025-06-29007840,2025-06-30,2025-06-29,Internal Review: Claim Settlement Delay – Escalation Required,Samantha Robbins,samantha.robbins@watts-hill.com,"matthew.hicks@watts-hill.com,aaron.dawson@watts-hill.com,aaron.dawson@watts-hill.com,aaron.sanford@watts-hill.com","kelly.wilcox@watts-hill.com,aaron.sanford@watts-hill.com",unread,True
MESS2025-03-04009481,2025-03-05,2025-03-04,Reconciliation of Commission Statements – 3,Kelly Wilcox,kelly.wilcox@watts-hill.com,"kristopher.thomas@watts-hill.com,daniel.mahoney@watts-hill.com,ashley.lane@watts-hill.com,aaron.sanford@watts-hill.com,samantha.robbins@watts-hill.com","kelly.wilcox@watts-hill.com,matthew.hicks@watts-hill.com,samantha.robbins@watts-hill.com,daniel.mahoney@watts-hill.com,aaron.dawson@watts-hill.com",read,True
MESS2025-02-01008107,2025-02-02,2025-02-01,Policy Renewal Reminders for This Week,Daniel Mahoney,daniel.mahoney@watts-hill.com,"micheal.wood@watts-hill.com,aaron.sanford@watts-hill.com,kelly.wilcox@watts-hill.com,samantha.robbins@watts-hill.com","matthew.hicks@watts-hill.com,daniel.mahoney@watts-hill.com,ashley.lane@watts-hill.com,micheal.wood@watts-hill.com",read,True
